female,sex,mates,offspring,years_breeding
CA-1,f,6,12,4
CA-2,f,2,5,1
CA-16,f,3,6,1
CA-30,f,2,11,2
CA-42,f,4,6,2
CA-44,f,2,3,2
CA-46,f,3,6,2
CA-47,f,5,10,3
CA-58,f,3,8,2
CA-61,f,1,1,1
CA-63,f,1,9,1
CA-66,f,1,1,1
CA-81,f,3,3,1
CA-93,f,2,4,1
CA-94,f,1,2,1
CA-102,f,3,5,2
CA-113,f,3,10,2
CA-124,f,2,6,1
CA-2,m,0,0,0
CA-3,m,0,0,0
CA-4,m,0,0,0
CA-5,m,3,7,2
CA-6,m,0,0,0
CA-7,m,0,0,0
CA-9,m,1,1,1
CA-13,m,0,0,0
CA-18,m,0,0,0
CA-20,m,1,2,1
CA-21,m,0,0,0
CA-23,m,1,2,1
CA-24,m,0,0,0
CA-25,m,0,0,0
CA-26,m,0,0,0
CA-27,m,2,4,1
CA-28,m,0,0,0
CA-31,m,0,0,0
CA-32,m,0,0,0
CA-33,m,0,0,0
CA-34,m,0,0,0
CA-35,m,0,0,0
CA-36,m,0,0,0
CA-37,m,0,0,0
CA-38,m,0,0,0
CA-40,m,1,1,1
CA-41,m,0,0,0
CA-43,m,2,5,2
CA-45,m,3,7,3
CA-48,m,0,0,0
CA-50,m,3,3,3
CA-52,m,0,0,0
CA-53,m,0,0,0
CA-54,m,0,0,0
CA-55,m,0,0,0
CA-57,m,0,0,0
CA-67,m,0,0,0
CA-68,m,3,6,2
CA-69,m,0,0,0
CA-73,m,1,2,1
CA-74,m,2,2,2
CA-75,m,0,0,0
CA-76,m,2,2,2
CA-78,m,0,0,0
CA-79,m,0,0,0
CA-80,m,1,5,1
CA-82,m,0,0,0
CA-83,m,0,0,0
CA-84,m,1,7,1
CA-88,m,1,1,1
CA-92,m,0,0,0
CA-96,m,0,0,0
CA-97,m,1,2,1
CA-98,m,0,0,0
CA-99,m,0,0,0
CA-103,m,0,0,0
CA-104,m,0,0,0
CA-105,m,0,0,0
CA-106,m,0,0,0
CA-107,m,0,0,0
CA-108,m,1,5,1
CA-109,m,0,0,0
CA-110,m,0,0,0
CA-111,m,0,0,0
CA-117,m,0,0,0
CA-118,m,0,0,0
CA-119,m,0,0,0
CA-122,m,0,0,0
CA-123,m,0,0,0
UM-1,m,1,9,1
UM-2,m,3,9,3
UM-5,m,1,3,1
UM-8,m,2,4,1
UM-9,m,3,5,3
UM-10,m,4,6,3
UM-13,m,1,4,1
UM-14,m,1,1,1
UM-15,m,1,3,1
